race_id,race_number,date_course,horse_id,target_rank,hippodrome,distance,weather_temperature,age,sex,shoeing_status,driver,entraineur,gains_carriere,cote_matin,avg_red_km_last_5,nb_races_last_5,nb_dai_last_5,avg_place_last_5,days_since_last_race,is_debutant
5653,4,2025-10-22,25927,3,BEA,2550,20.0,3,FEMELLES,,N. LANGLOIS,N. LANGLOIS,2752500.0,15.0,7566.666666666667,5,2,2.0,1.0,False
5655,6,2025-10-22,25925,7,BEA,2550,20.0,4,FEMELLES,,M.X. CHARLOT,R. DEBUE,5802000.0,34.0,7546.0,5,0,3.6,1.0,False
5655,6,2025-10-22,25928,5,BEA,2550,20.0,4,FEMELLES,,TH. BRIAND,E. PRUDHON,5835500.0,12.0,7570.0,5,1,3.75,1.0,False
5653,4,2025-10-22,25936,4,BEA,2550,20.0,3,MALES,,C. GAZENGEL,P.M. MANCEAU,3343000.0,21.0,7830.0,5,1,2.5,1.0,False
5655,6,2025-10-22,25939,2,BEA,2550,20.0,4,FEMELLES,,P. GESRET,E. PRUDHON,5957500.0,54.0,7580.0,5,3,2.0,1.0,False
5653,4,2025-10-22,25943,2,BEA,2550,20.0,3,MALES,,F. MARTY,F. MARTY,3770000.0,4.1,7728.0,5,0,1.4,1.0,False
5655,6,2025-10-22,25948,3,BEA,2550,20.0,4,HONGRES,,F. MARTY,F. MARTY,9487500.0,7.0,7494.0,5,0,2.8,1.0,False
5653,4,2025-10-22,3871,1,BEA,2550,20.0,3,MALES,,Mme LANA HENRY,Y. HENRY,6009500.0,5.1,7634.0,5,0,1.4,1.0,False
5655,6,2025-10-22,32561,4,BEA,2550,20.0,4,FEMELLES,DEFERRE_ANTERIEURS_POSTERIEURS,E. RAFFIN,J.PH. MONCLIN,11716000.0,6.1,7332.5,5,0,4.25,1.0,False
5655,6,2025-10-22,17835,1,BEA,2550,20.0,4,MALES,PROTEGE_ANTERIEURS,A. ABRIVARD,L.CL. ABRIVARD,12684500.0,2.6,7402.5,5,0,2.75,1.0,False
6334,6,2025-09-03,19999,2,CAP,1800,20.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,A. ABRIVARD,J.M. CHAINEUX,14695600.0,8.3,7430.0,5,1,3.3333333333333335,1.0,False
6334,6,2025-09-03,16864,3,CAP,1800,20.0,7,FEMELLES,PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS,F. NIVARD,CH. CUILLER,14196500.0,4.1,7370.0,5,0,4.0,1.0,False
6334,6,2025-09-03,32141,8,CAP,1800,20.0,9,HONGRES,DEFERRE_POSTERIEURS,J.CH. PITON,B. PITON,14475500.0,25.0,7550.0,5,0,7.666666666666667,1.0,False
6334,6,2025-09-03,7935,4,CAP,1800,20.0,9,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,PH. MASSCHAELE,Mme G. MASSCHAELE,14473000.0,12.0,7400.0,5,0,6.333333333333333,1.0,False
6334,6,2025-09-03,19469,5,CAP,1800,20.0,7,FEMELLES,DEFERRE_ANTERIEURS_POSTERIEURS,P.Y. VERVA,P.Y. VERVA,13323000.0,3.8,7437.5,5,0,3.8,1.0,False
6334,6,2025-09-03,3816,1,CAP,1800,20.0,8,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,F. OUVRIE,Y. HENRY,14362500.0,4.9,7310.0,5,1,4.666666666666667,1.0,False
6334,6,2025-09-03,18205,6,CAP,1800,20.0,8,HONGRES,DEFERRE_ANTERIEURS_POSTERIEURS,J.F. SENET,J.F. SENET,14803000.0,6.6,7500.0,5,0,5.8,1.0,False
6334,6,2025-09-03,42457,7,CAP,1800,20.0,8,HONGRES,PROTEGE_ANTERIEURS_POSTERIEURS,R. HEMERY,R. CHAUSSIER,12447500.0,42.0,56880.0,5,0,7.5,12.0,False
5661,4,2025-10-22,31611,9,GEL,2000,14.0,9,HONGRES,,HOLDT DENNIS VON,K. MEYER,4091200.0,186.0,56880.0,0,0,,365.0,True
5654,5,2025-10-22,24022,1,BEA,2400,20.0,7,MALES,DEFERRE_ANTERIEURS_POSTERIEURS,M. ABRIVARD,M. ABRIVARD,59838000.0,4.1,7165.0,5,0,3.0,1.0,False
5654,5,2025-10-22,24082,6,BEA,2400,20.0,6,FEMELLES,PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS,A. ABRIVARD,L.CL. ABRIVARD,100263000.0,4.4,7222.5,5,0,5.75,1.0,False
